#	Pvm	Kello	Ottelu	Tulos	JA/VL	Lisätiedot	Yleisöä
60.		18:30	HIFK - Jokerit	0-1	VL	Maalit | Kokoonpanot | Seuranta	7208
61.		18:30	JYP - Ässät	5-2		Maalit | Kokoonpanot | Seuranta	3737
62.		18:30	KalPa - Lukko	0-1		Maalit | Kokoonpanot | Seuranta	4503
63.		18:30	SaiPa - Pelicans	2-3	VL	Maalit | Kokoonpanot | Seuranta	3020
64.		18:30	TPS - HPK	2-1		Maalit | Kokoonpanot | Seuranta	5229
65.	Ke 07.10.	18:30	Tappara - Kärpät	3-6		Maalit | Kokoonpanot | Seuranta	4501
66.	To 08.10.	18:30	HIFK - KalPa	7-2		Maalit | Kokoonpanot | Seuranta	5664
67.		18:30	HPK - Kärpät	4-5	JA	Maalit | Kokoonpanot | Seuranta	3027
68.		18:30	Jokerit - TPS	1-3		Maalit | Kokoonpanot | Seuranta	7173
69.		18:30	Lukko - Blues	3-2	JA	Maalit | Kokoonpanot | Seuranta	3891
70.		18:30	Ässät - Pelicans	7-6	JA	Maalit | Kokoonpanot | Seuranta	3317
71.	Pe 09.10.	18:30	Ilves - Tappara	0-2		Maalit | Kokoonpanot | Seuranta	7600
72.		18:30	JYP - SaiPa	3-4		Maalit | Kokoonpanot | Seuranta	4012
73.	La 10.10.	17:00	KalPa - Ässät	4-5	JA	Maalit | Kokoonpanot | Seuranta	4299
74.		17:00	Kärpät - JYP	4-3		Maalit | Kokoonpanot | Seuranta	5808
75.		17:00	Pelicans - Ilves	3-6		Maalit | Kokoonpanot | Seuranta	4031
76.		18:30	TPS - HIFK	4-2		Maalit | Kokoonpanot | Seuranta	9094
77.	Ti 13.10.	18:30	Blues - Jokerit	6-2		Maalit | Kokoonpanot | Seuranta	5280
78.		18:30	Ilves - HPK	6-4		Maalit | Kokoonpanot | Seuranta	5895
79.		18:30	SaiPa - Lukko	1-2		Maalit | Kokoonpanot | Seuranta	2976
80.	To 15.10.	18:30	HIFK - Kärpät	4-3		Maalit | Kokoonpanot | Seuranta	6067
81.		18:30	HPK - SaiPa	2-1		Maalit | Kokoonpanot | Seuranta	3499
82.		18:30	Lukko - Ilves	3-2		Maalit | Kokoonpanot | Seuranta	4497
83.		18:30	Tappara - KalPa	0-3		Maalit | Kokoonpanot | Seuranta	5801
84.	Pe 16.10.	18:30	JYP - TPS	6-0		Maalit | Kokoonpanot | Seuranta	4344
85.		18:30	Pelicans - Blues	1-2		Maalit | Kokoonpanot | Seuranta	4008
86.		18:30	Ässät - Jokerit	4-0		Maalit | Kokoonpanot | Seuranta	4833
87.	La 17.10.	18:30	Blues - Tappara	4-2		Maalit | Kokoonpanot | Seuranta	4012
88.		17:00	HIFK - Lukko	2-3		Maalit | Kokoonpanot | Seuranta	7243
89.		17:00	KalPa - JYP	3-2	VL	Maalit | Kokoonpanot | Seuranta	5224
90.		17:00	Kärpät - SaiPa	3-0		Maalit | Kokoonpanot | Seuranta	5646
91.		18:30	TPS - Pelicans	3-2	VL	Maalit | Kokoonpanot | Seuranta	5913
92.	Ti 20.10.	18:30	Ilves - KalPa	1-4		Maalit | Kokoonpanot | Seuranta	5186
93.		18:30	SaiPa - Blues	3-4		Maalit | Kokoonpanot | Seuranta	2983
94.	Ke 21.10.	18:30	Jokerit - Kärpät	3-4		Maalit | Kokoonpanot | Seuranta	7596
95.	To 22.10.	18:30	JYP - Ilves	4-2		Maalit | Kokoonpanot | Seuranta	3754
96.		18:30	KalPa - TPS	3-2		Maalit | Kokoonpanot | Seuranta	4303
97.		18:30	Pelicans - HPK	4-3	VL	Maalit | Kokoonpanot | Seuranta	3965
98.		18:30	Tappara - HIFK	6-4		Maalit | Kokoonpanot | Seuranta	4875
99.	Pe 23.10.	18:30	Lukko - Ässät	4-2		Maalit | Kokoonpanot | Seuranta	5400
100.	La 24.10.	17:00	HIFK - JYP	3-4		Maalit | Kokoonpanot | Seuranta	6632
101.		17:00	HPK - Lukko	1-0		Maalit | Kokoonpanot | Seuranta	3850
102.		17:00	Jokerit - SaiPa	4-3		Maalit | Kokoonpanot | Seuranta	9238
103.		17:00	Kärpät - Pelicans	3-2		Maalit | Kokoonpanot | Seuranta	6278
104.		17:00	TPS - Tappara	3-2	JA	Maalit | Kokoonpanot | Seuranta	7109
105.		18:30	Ässät - Blues	2-1		Maalit | Kokoonpanot | Seuranta	3862
106.	Ti 27.10.	18:30	Ilves - Blues	2-3	JA	Maalit | Kokoonpanot | Seuranta	4841
107.		18:30	KalPa - HPK	2-3		Maalit | Kokoonpanot | Seuranta	3968
108.	To 29.10.	18:30	Blues - Kärpät	1-2		Maalit | Kokoonpanot | Seuranta	4486
109.		18:30	HIFK - Ässät	5-1		Maalit | Kokoonpanot | Seuranta	5673
110.		18:30	JYP - Jokerit	2-1		Maalit | Kokoonpanot | Seuranta	4349
111.		18:30	Lukko - TPS	5-1		Maalit | Kokoonpanot | Seuranta	4310
112.		18:30	SaiPa - Ilves	2-3		Maalit | Kokoonpanot | Seuranta	2975
113.	Pe 30.10.	18:30	Tappara - HPK	1-5		Maalit | Kokoonpanot | Seuranta	4499
114.	La 31.10.	17:00	HPK - Jokerit	4-3	JA	Maalit | Kokoonpanot | Seuranta	4320
115.		17:00	JYP - Tappara	3-2		Maalit | Kokoonpanot | Seuranta	4352
116.		18:30	KalPa - Pelicans	2-3	VL	Maalit | Kokoonpanot | Seuranta	4313
117.		17:00	Kärpät - Lukko	2-4		Maalit | Kokoonpanot | Seuranta	6614
118.		17:00	SaiPa - HIFK	2-6		Maalit | Kokoonpanot | Seuranta	4013
119.		17:00	TPS - Ässät	1-4		Maalit | Kokoonpanot | Seuranta	7114
120.	Ti 10.11.	18:30	Blues - TPS	4-3		Maalit | Kokoonpanot | Seuranta	4017
121.		18:30	Jokerit - Ilves	5-2		Maalit | Kokoonpanot | Seuranta	6531
122.		18:30	Kärpät - HPK	4-3		Maalit | Kokoonpanot | Seuranta	5567
123.		18:30	Lukko - KalPa	6-0		Maalit | Kokoonpanot | Seuranta	4008
124.		18:30	Pelicans - HIFK	2-4		Maalit | Kokoonpanot | Seuranta	4102
125.		18:30	SaiPa - JYP	3-4		Maalit | Kokoonpanot | Seuranta	2954
126.		18:30	Tappara - Ässät	5-2		Maalit | Kokoonpanot | Seuranta	6312
127.	Ke 11.11.	18:30	Ässät - KalPa	0-4		Maalit | Kokoonpanot | Seuranta	3430
128.	To 12.11.	18:30	Blues - Lukko	4-3	JA	Maalit | Kokoonpanot | Seuranta	3893
129.		18:30	HPK - JYP	1-4		Maalit | Kokoonpanot | Seuranta	3343
130.	Pe 13.11.	18:30	Ilves - Kärpät	5-6	VL	Maalit | Kokoonpanot | Seuranta	5956
131.		18:30	Jokerit - HIFK	0-4		Maalit | Kokoonpanot | Seuranta	13164
132.		18:30	Pelicans - Tappara	4-1		Maalit | Kokoonpanot | Seuranta	4046
133.	La 14.11.	17:00	HIFK - TPS	5-6	JA	Maalit | Kokoonpanot | Seuranta	7388
134.		17:00	HPK - Blues	0-2		Maalit | Kokoonpanot | Seuranta	3086
135.		17:00	JYP - Kärpät	5-1		Maalit | Kokoonpanot | Seuranta	4618
136.		16:00	Lukko - Pelicans	4-2		Maalit | Kokoonpanot | Seuranta	4345
137.		18:30	SaiPa - KalPa	5-1		Maalit | Kokoonpanot | Seuranta	3302
138.		17:00	Tappara - Ilves	2-5		Maalit | Kokoonpanot | Seuranta	7600
139.	Su 15.11.	17:00	Jokerit - Ässät	3-1		Maalit | Kokoonpanot | Seuranta	6874
140.	Ti 17.11.	18:30	Blues - Ilves	3-2	VL	Maalit | Kokoonpanot | Seuranta	3733
141.		18:30	TPS - Lukko	2-3		Maalit | Kokoonpanot | Seuranta	6329
142.		18:30	Ässät - HPK	2-1		Maalit | Kokoonpanot | Seuranta	3032
143.	To 19.11.	18:30	Blues - HIFK	3-4	VL	Maalit | Kokoonpanot | Seuranta	5941
144.		18:30	Kärpät - Tappara	3-2		Maalit | Kokoonpanot | Seuranta	5698
145.		18:30	Pelicans - SaiPa	3-5		Maalit | Kokoonpanot | Seuranta	3532
146.		18:30	TPS - JYP	2-5		Maalit | Kokoonpanot | Seuranta	5062
147.	Pe 20.11.	18:30	Ilves - Lukko	4-1		Maalit | Kokoonpanot | Seuranta	6398
148.		19:30	KalPa - Jokerit	0-2		Maalit | Kokoonpanot | Seuranta	5224
149.	La 21.11.	17:00	HIFK - Pelicans	3-0		Maalit | Kokoonpanot | Seuranta	6017
150.		18:30	HPK - Ilves	4-1		Maalit | Kokoonpanot | Seuranta	3317
151.		17:00	JYP - Lukko	2-3	JA	Maalit | Kokoonpanot | Seuranta	4560
152.		17:00	SaiPa - TPS	4-3		Maalit | Kokoonpanot | Seuranta	3419
153.		17:00	Tappara - Blues	3-0		Maalit | Kokoonpanot | Seuranta	4686
154.		17:00	Ässät - Kärpät	2-4		Maalit | Kokoonpanot | Seuranta	3961
155.	Ti 24.11.	18:30	Blues - SaiPa	2-1	JA	Maalit | Kokoonpanot | Seuranta	3685
156.		18:30	Jokerit - Pelicans	3-5		Maalit | Kokoonpanot | Seuranta	7331
157.	To 26.11.	18:30	HIFK - Tappara	3-2		Maalit | Kokoonpanot | Seuranta	7051
158.		18:30	Ilves - JYP	3-4	JA	Maalit | Kokoonpanot | Seuranta	5375
159.		18:30	Kärpät - Jokerit	4-1		Maalit | Kokoonpanot | Seuranta	6314
160.		18:30	Lukko - HPK	5-1		Maalit | Kokoonpanot | Seuranta	4670
161.		18:30	Pelicans - Ässät	1-2		Maalit | Kokoonpanot | Seuranta	3402
162.		18:30	TPS - KalPa	2-3		Maalit | Kokoonpanot | Seuranta	5164
163.	Pe 27.11.	18:30	Jokerit - Blues	5-2		Maalit | Kokoonpanot | Seuranta	7155
164.	La 28.11.	17:00	JYP - Pelicans	3-0		Maalit | Kokoonpanot | Seuranta	4002
165.		17:00	KalPa - Ilves	3-0		Maalit | Kokoonpanot | Seuranta	4217
166.		17:00	Kärpät - HIFK	1-2	VL	Maalit | Kokoonpanot | Seuranta	6614
167.		17:00	SaiPa - HPK	3-2	VL	Maalit | Kokoonpanot | Seuranta	3463
168.		18:30	Tappara - Lukko	4-2		Maalit | Kokoonpanot | Seuranta	6043
169.		17:00	Ässät - TPS	4-2		Maalit | Kokoonpanot | Seuranta	4027
170.	Ti 01.12.	18:30	Blues - JYP	3-2		Maalit | Kokoonpanot | Seuranta	4009
171.		18:30	HIFK - Ässät	2-1		Maalit | Kokoonpanot | Seuranta	5382
172.		18:30	Lukko - Jokerit	0-2		Maalit | Kokoonpanot | Seuranta	4004
173.	To 03.12.	18:30	HIFK - Jokerit	3-2	VL	Maalit | Kokoonpanot | Seuranta	8200
174.		18:30	Ilves - SaiPa	1-4		Maalit | Kokoonpanot | Seuranta	4949
175.		18:30	KalPa - Tappara	5-2		Maalit | Kokoonpanot | Seuranta	3930
176.		18:30	TPS - Kärpät	5-3		Maalit | Kokoonpanot | Seuranta	5086
177.	Pe 04.12.	18:30	HPK - Pelicans	1-5		Maalit | Kokoonpanot | Seuranta	3316
178.	La 05.12.	17:00	Jokerit - HPK	2-1		Maalit | Kokoonpanot | Seuranta	7363
179.		17:00	JYP - SaiPa	5-2		Maalit | Kokoonpanot | Seuranta	4083
180.		17:00	Kärpät - Blues	4-3	JA	Maalit | Kokoonpanot | Seuranta	6122
181.		18:30	Lukko - HIFK	6-2		Maalit | Kokoonpanot | Seuranta	4075
182.		17:00	Pelicans - KalPa	4-2		Maalit | Kokoonpanot | Seuranta	4109
183.		17:00	Tappara - TPS	6-3		Maalit | Kokoonpanot | Seuranta	5174
184.		17:00	Ässät - Ilves	5-4		Maalit | Kokoonpanot | Seuranta	3844
185.	Ti 08.12.	18:30	Blues - TPS	1-4		Maalit | Kokoonpanot | Seuranta	3766
186.		18:30	HPK - Tappara	3-2	JA	Maalit | Kokoonpanot | Seuranta	3472
187.		18:30	Ilves - Pelicans	2-4		Maalit | Kokoonpanot | Seuranta	5136
188.		18:30	Jokerit - JYP	4-2		Maalit | Kokoonpanot | Seuranta	7656
189.		18:30	KalPa - HIFK	4-0		Maalit | Kokoonpanot | Seuranta	4366
190.		18:30	Lukko - Kärpät	3-1		Maalit | Kokoonpanot | Seuranta	4008
191.		18:30	SaiPa - Ässät	4-2		Maalit | Kokoonpanot | Seuranta	3107
192.	To 10.12.	18:30	Blues - KalPa	0-3		Maalit | Kokoonpanot | Seuranta	4144
193.		18:30	Pelicans - Kärpät	0-5		Maalit | Kokoonpanot | Seuranta	4173
194.		18:30	Tappara - SaiPa	6-1		Maalit | Kokoonpanot | Seuranta	4443
195.		18:30	Ässät - Jokerit	2-3	JA	Maalit | Kokoonpanot | Seuranta	3457
196.	Pe 11.12.	18:30	HIFK - Ilves	4-3	VL	Maalit | Kokoonpanot | Seuranta	5852
197.		18:30	JYP - HPK	5-1		Maalit | Kokoonpanot | Seuranta	4194
198.		18:30	TPS - Lukko	4-1		Maalit | Kokoonpanot | Seuranta	8126
199.	La 12.12.	17:00	HPK - HIFK	4-1		Maalit | Kokoonpanot | Seuranta	4817
200.		17:00	Ilves - TPS	2-4		Maalit | Kokoonpanot | Seuranta	4944
201.		17:00	Jokerit - Tappara	2-4		Maalit | Kokoonpanot | Seuranta	8398
202.		18:30	KalPa - Kärpät	1-0		Maalit | Kokoonpanot | Seuranta	4740
203.		17:00	Lukko - Blues	1-2		Maalit | Kokoonpanot | Seuranta	3842
204.		17:00	SaiPa - Pelicans	5-4	JA	Maalit | Kokoonpanot | Seuranta	3702
205.		17:00	Ässät - JYP	3-0		Maalit | Kokoonpanot | Seuranta	4009
206.	La 26.12.	17:00	HPK - Blues	3-1		Maalit | Kokoonpanot | Seuranta	3354
207.		18:30	Ilves - Tappara	5-2		Maalit | Kokoonpanot | Seuranta	7600
208.		17:00	KalPa - SaiPa	3-2	VL	Maalit | Kokoonpanot | Seuranta	5224
209.		17:00	Lukko - Ässät	1-0		Maalit | Kokoonpanot | Seuranta	5400
210.		17:00	Pelicans - JYP	2-1	VL	Maalit | Kokoonpanot | Seuranta	4463
211.	Su 27.12.	17:00	TPS - Kärpät	3-1		Maalit | Kokoonpanot | Seuranta	7135
212.	Ti 29.12.	18:30	Blues - SaiPa	2-3	JA	Maalit | Kokoonpanot | Seuranta	4526
213.		18:30	Jokerit - TPS	2-3		Maalit | Kokoonpanot | Seuranta	7932
214.		18:30	JYP - HIFK	4-3		Maalit | Kokoonpanot | Seuranta	4502
215.		18:30	Kärpät - Ilves	6-4		Maalit | Kokoonpanot | Seuranta	6204
216.		18:30	Lukko - KalPa	2-3	JA	Maalit | Kokoonpanot | Seuranta	4424
217.		18:30	Tappara - Pelicans	5-3		Maalit | Kokoonpanot | Seuranta	5410
218.		18:30	Ässät - HPK	8-1		Maalit | Kokoonpanot | Seuranta	3965
219.	La 02.01.	18:30	HIFK - Kärpät	0-2		Maalit | Kokoonpanot | Seuranta	7521
220.		17:00	HPK - TPS	3-4	VL	Maalit | Kokoonpanot | Seuranta	4062
