"Vuosi"	"min_ika"	"max_ika"	"Ikaluokat_yhteensa"	"ikaluokka"
1897	"30"	"34"	2567500	159100
1898	"30"	"34"	2610300	159700
1899	"30"	"34"	2635300	159000
1900	"30"	"34"	2655900	157800
1901	"30"	"34"	2678500	167300
1902	"30"	"34"	2693900	174900
1903	"30"	"34"	2717100	188300
1904	"30"	"34"	2751900	192600
1905	"30"	"34"	2773000	191500
1906	"30"	"34"	2803700	190800
1907	"30"	"34"	2838700	194400
1908	"30"	"34"	2883000	197400
1909	"30"	"34"	2914800	197700
1910	"30"	"34"	2943400	198200
1911	"30"	"34"	2980000	198700
1912	"30"	"34"	3015500	201200
1913	"30"	"34"	3035800	204300
1914	"30"	"34"	3069500	207100
1915	"30"	"34"	3096300	209400
1916	"30"	"34"	3114200	215400
1917	"30"	"34"	3134300	219500
1918	"30"	"34"	3115300	216500
1919	"30"	"34"	3118000	215200
1920	"30"	"34"	3147600	213900
1921	"30"	"34"	3193200	217800
1922	"30"	"34"	3227800	216400
1923	"30"	"34"	3258600	214500
1924	"30"	"34"	3286200	217100
1925	"30"	"34"	3322100	223800
1926	"30"	"34"	3355200	225600
1927	"30"	"34"	3380600	230600
1928	"30"	"34"	3412100	240900
1929	"30"	"34"	3435300	248800
1930	"30"	"34"	3462700	253400
1931	"30"	"34"	3489600	262300
1932	"30"	"34"	3516000	269900
1933	"30"	"34"	3536600	273800
1934	"30"	"34"	3561600	280800
1935	"30"	"34"	3589600	286600
1936	"30"	"34"	3612400	293500
1937	"30"	"34"	3640200	302500
1938	"30"	"34"	3672100	311200
1939	"30"	"34"	3699700	317400
1940	"30"	"34"	3695617	320069
1941	"30"	"34"	3707815	317234
1942	"30"	"34"	3708801	316274
1943	"30"	"34"	3732532	313097
1944	"30"	"34"	3737096	305770
1945	"30"	"34"	3778890	298643
1946	"30"	"34"	3833072	289210
1947	"30"	"34"	3885284	281068
1948	"30"	"34"	3937840	276026
1949	"30"	"34"	3987996	262991
1950	"30"	"34"	4029803	267809
1951	"30"	"34"	4064727	273499
1952	"30"	"34"	4116228	278045
1953	"30"	"34"	4162609	285214
1954	"30"	"34"	4211191	299715
1955	"30"	"34"	4258571	300967
1956	"30"	"34"	4304832	302853
1957	"30"	"34"	4343190	305122
1958	"30"	"34"	4376314	306106
1959	"30"	"34"	4413046	308043
1960	"30"	"34"	4446222	308535
1961	"30"	"34"	4475787	306156
1962	"30"	"34"	4507098	302312
1963	"30"	"34"	4539519	292680
1964	"30"	"34"	4557567	284318
1965	"30"	"34"	4569896	278204
1966	"30"	"34"	4591842	275173
1967	"30"	"34"	4619645	278281
1968	"30"	"34"	4633292	287529
1969	"30"	"34"	4614277	293692
1970	"30"	"34"	4598336	287969
1971	"30"	"34"	4625912	307110
1972	"30"	"34"	4653401	301316
1973	"30"	"34"	4678761	304540
1974	"30"	"34"	4702387	308712
1975	"30"	"34"	4720492	336666
1976	"30"	"34"	4730836	351868
1977	"30"	"34"	4746967	390943
1978	"30"	"34"	4758088	417783
1979	"30"	"34"	4771292	439882
1980	"30"	"34"	4787778	443722
1981	"30"	"34"	4812150	435921
1982	"30"	"34"	4841715	429239
1983	"30"	"34"	4869858	419156
1984	"30"	"34"	4893748	411379
1985	"30"	"34"	4910664	405916
1986	"30"	"34"	4925644	404391
1987	"30"	"34"	4938602	397877
1988	"30"	"34"	4954359	391222
1989	"30"	"34"	4974383	386877
1990	"30"	"34"	4998478	383326
1991	"30"	"34"	5029002	380129
1992	"30"	"34"	5054982	378982
1993	"30"	"34"	5077912	382300
1994	"30"	"34"	5098754	382020
1995	"30"	"34"	5116826	379987
1996	"30"	"34"	5132320	377527
1997	"30"	"34"	5147349	374399
1998	"30"	"34"	5159646	367975
1999	"30"	"34"	5171302	357565
2000	"30"	"34"	5181115	346890
2001	"30"	"34"	5194901	335071
2002	"30"	"34"	5206295	321645
2003	"30"	"34"	5219732	308602
2004	"30"	"34"	5236611	306354
2005	"30"	"34"	5255580	308990
2006	"30"	"34"	5276955	315588
2007	"30"	"34"	5300484	323951
2008	"30"	"34"	5326314	334075
2009	"30"	"34"	5351427	337970
2010	"30"	"34"	5375276	339277
2011	"30"	"34"	5401267	340247
2012	"30"	"34"	5426674	344759
1865	"35"	"39"	1843245	122319
1866	"35"	"39"	1837506	120560
1867	"35"	"39"	1824198	118295
1868	"35"	"39"	1727538	110692
1869	"35"	"39"	1739560	110091
1870	"35"	"39"	1768769	110522
1871	"35"	"39"	1803845	113128
1872	"35"	"39"	1834611	115466
1873	"35"	"39"	1859976	117463
1874	"35"	"39"	1886117	119508
1875	"35"	"39"	1912647	121578
1876	"35"	"39"	1942656	126090
1877	"35"	"39"	1971431	130515
1878	"35"	"39"	1994573	134073
1879	"35"	"39"	2032669	135795
1880	"35"	"39"	2060782	138309
1881	"35"	"39"	2082643	139156
1882	"35"	"39"	2113302	138263
1883	"35"	"39"	2146395	139656
1884	"35"	"39"	2180547	141689
1885	"35"	"39"	2207518	141267
1886	"35"	"39"	2238572	145129
1887	"35"	"39"	2278140	146919
1888	"35"	"39"	2314179	147704
1889	"35"	"39"	2347702	149792
1890	"35"	"39"	2380140	150869
1891	"35"	"39"	2408300	152300
1892	"35"	"39"	2422500	152700
1893	"35"	"39"	2436700	153300
1894	"35"	"39"	2465700	154700
1895	"35"	"39"	2499900	156300
1896	"35"	"39"	2530900	157900
1897	"35"	"39"	2567500	159700
1898	"35"	"39"	2610300	161900
1899	"35"	"39"	2635300	163000
1900	"35"	"39"	2655900	163700
1901	"35"	"39"	2678500	158000
1902	"35"	"39"	2693900	152100
1903	"35"	"39"	2717100	141700
1904	"35"	"39"	2751900	140600
1905	"35"	"39"	2773000	147100
1906	"35"	"39"	2803700	155800
1907	"35"	"39"	2838700	164400
1908	"35"	"39"	2883000	178700
1909	"35"	"39"	2914800	181600
1910	"35"	"39"	2943400	180200
1911	"35"	"39"	2980000	181000
1912	"35"	"39"	3015500	184300
1913	"35"	"39"	3035800	184700
1914	"35"	"39"	3069500	186500
1915	"35"	"39"	3096300	188700
1916	"35"	"39"	3114200	188200
1917	"35"	"39"	3134300	190400
1918	"35"	"39"	3115300	191400
1919	"35"	"39"	3118000	193600
1920	"35"	"39"	3147600	195200
1921	"35"	"39"	3193200	203200
1922	"35"	"39"	3227800	208300
1923	"35"	"39"	3258600	210100
1924	"35"	"39"	3286200	210500
1925	"35"	"39"	3322100	211600
1926	"35"	"39"	3355200	213800
1927	"35"	"39"	3380600	211400
1928	"35"	"39"	3412100	209700
1929	"35"	"39"	3435300	211200
1930	"35"	"39"	3462700	216500
1931	"35"	"39"	3489600	217800
1932	"35"	"39"	3516000	223100
1933	"35"	"39"	3536600	232900
1934	"35"	"39"	3561600	240900
1935	"35"	"39"	3589600	246200
1936	"35"	"39"	3612400	254600
1937	"35"	"39"	3640200	261700
1938	"35"	"39"	3672100	265500
1939	"35"	"39"	3699700	271900
1940	"35"	"39"	3695617	274360
1941	"35"	"39"	3707815	277142
1942	"35"	"39"	3708801	284486
1943	"35"	"39"	3732532	291734
1944	"35"	"39"	3737096	295600
1945	"35"	"39"	3778890	301125
1946	"35"	"39"	3833072	302959
1947	"35"	"39"	3885284	302840
1948	"35"	"39"	3937840	299984
1949	"35"	"39"	3987996	295326
1950	"35"	"39"	4029803	287803
1951	"35"	"39"	4064727	277968
1952	"35"	"39"	4116228	270862
1953	"35"	"39"	4162609	267099
1954	"35"	"39"	4211191	255304
1955	"35"	"39"	4258571	261643
1956	"35"	"39"	4304832	268967
1957	"35"	"39"	4343190	273345
1958	"35"	"39"	4376314	280029
1959	"35"	"39"	4413046	293874
1960	"35"	"39"	4446222	294434
1961	"35"	"39"	4475787	295812
1962	"35"	"39"	4507098	298096
1963	"35"	"39"	4539519	299400
1964	"35"	"39"	4557567	301534
1965	"35"	"39"	4569896	302010
1966	"35"	"39"	4591842	300202
1967	"35"	"39"	4619645	296830
1968	"35"	"39"	4633292	287550
1969	"35"	"39"	4614277	280349
1970	"35"	"39"	4598336	274525
1971	"35"	"39"	4625912	272543
1972	"35"	"39"	4653401	274999
1973	"35"	"39"	4678761	284590
1974	"35"	"39"	4702387	293098
1975	"35"	"39"	4720492	289668
1976	"35"	"39"	4730836	307526
1977	"35"	"39"	4746967	300265
1978	"35"	"39"	4758088	301461
1979	"35"	"39"	4771292	304190
1980	"35"	"39"	4787778	331554
1981	"35"	"39"	4812150	347609
1982	"35"	"39"	4841715	388276
1983	"35"	"39"	4869858	416687
1984	"35"	"39"	4893748	439954
1985	"35"	"39"	4910664	444575
1986	"35"	"39"	4925644	436309
1987	"35"	"39"	4938602	428782
1988	"35"	"39"	4954359	417907
1989	"35"	"39"	4974383	410165
1990	"35"	"39"	4998478	405368
1991	"35"	"39"	5029002	405035
1992	"35"	"39"	5054982	399440
1993	"35"	"39"	5077912	393435
1994	"35"	"39"	5098754	388699
1995	"35"	"39"	5116826	384742
1996	"35"	"39"	5132320	380187
1997	"35"	"39"	5147349	378530
1998	"35"	"39"	5159646	381393
1999	"35"	"39"	5171302	380939
2000	"35"	"39"	5181115	378646
2001	"35"	"39"	5194901	376538
2002	"35"	"39"	5206295	373457
2003	"35"	"39"	5219732	367428
2004	"35"	"39"	5236611	357316
2005	"35"	"39"	5255580	347754
2006	"35"	"39"	5276955	336438
2007	"35"	"39"	5300484	324082
2008	"35"	"39"	5326314	311930
2009	"35"	"39"	5351427	310768
2010	"35"	"39"	5375276	313917
2011	"35"	"39"	5401267	320917
2012	"35"	"39"	5426674	329842
1865	"0"	"4"	1843245	264002
1866	"0"	"4"	1837506	257161
1867	"0"	"4"	1824198	249224
1868	"0"	"4"	1727538	230134
1869	"0"	"4"	1739560	225753
1870	"0"	"4"	1768769	223358
1871	"0"	"4"	1803845	234438
1872	"0"	"4"	1834611	244987
1873	"0"	"4"	1859976	254808
1874	"0"	"4"	1886117	264713
1875	"0"	"4"	1912647	274658
1876	"0"	"4"	1942656	277484
1877	"0"	"4"	1971431	280137
1878	"0"	"4"	1994573	280077
1879	"0"	"4"	2032669	287178
1880	"0"	"4"	2060782	289022
1881	"0"	"4"	2082643	287293
1882	"0"	"4"	2113302	288581
1883	"0"	"4"	2146395	295386
1884	"0"	"4"	2180547	300224
1885	"0"	"4"	2207518	302230
1886	"0"	"4"	2238572	307594
1887	"0"	"4"	2278140	316632
1888	"0"	"4"	2314179	322010
1889	"0"	"4"	2347702	323676
1890	"0"	"4"	2380140	324543
1891	"0"	"4"	2408300	327400
1892	"0"	"4"	2422500	328500
1893	"0"	"4"	2436700	329900
1894	"0"	"4"	2465700	332300
1895	"0"	"4"	2499900	335600
1896	"0"	"4"	2530900	338700
1897	"0"	"4"	2567500	342100
1898	"0"	"4"	2610300	346400
1899	"0"	"4"	2635300	349300
1900	"0"	"4"	2655900	351400
1901	"0"	"4"	2678500	354100
1902	"0"	"4"	2693900	358300
1903	"0"	"4"	2717100	356900
1904	"0"	"4"	2751900	362200
1905	"0"	"4"	2773000	365900
1906	"0"	"4"	2803700	370000
1907	"0"	"4"	2838700	376700
1908	"0"	"4"	2883000	382600
1909	"0"	"4"	2914800	389600
1910	"0"	"4"	2943400	395000
1911	"0"	"4"	2980000	395100
1912	"0"	"4"	3015500	395300
1913	"0"	"4"	3035800	391600
1914	"0"	"4"	3069500	387700
1915	"0"	"4"	3096300	382000
1916	"0"	"4"	3114200	371600
1917	"0"	"4"	3134300	361200
1918	"0"	"4"	3115300	351800
1919	"0"	"4"	3118000	328300
1920	"0"	"4"	3147600	333200
1921	"0"	"4"	3193200	339800
1922	"0"	"4"	3227800	342300
1923	"0"	"4"	3258600	347100
1924	"0"	"4"	3286200	357800
1925	"0"	"4"	3322100	355300
1926	"0"	"4"	3355200	353000
1927	"0"	"4"	3380600	350200
1928	"0"	"4"	3412100	348500
1929	"0"	"4"	3435300	346600
1930	"0"	"4"	3462700	345800
1931	"0"	"4"	3489600	342000
1932	"0"	"4"	3516000	337200
1933	"0"	"4"	3536600	326200
1934	"0"	"4"	3561600	319100
1935	"0"	"4"	3589600	317500
1936	"0"	"4"	3612400	316400
1937	"0"	"4"	3640200	320700
1938	"0"	"4"	3672100	332900
1939	"0"	"4"	3699700	343200
1940	"0"	"4"	3695617	337957
1941	"0"	"4"	3707815	356916
1942	"0"	"4"	3708801	347046
1943	"0"	"4"	3732532	348305
1944	"0"	"4"	3737096	349515
1945	"0"	"4"	3778890	377739
1946	"0"	"4"	3833072	395211
1947	"0"	"4"	3885284	439631
1948	"0"	"4"	3937840	472050
1949	"0"	"4"	3987996	498426
1950	"0"	"4"	4029803	502668
1951	"0"	"4"	4064727	488536
1952	"0"	"4"	4116228	476566
1953	"0"	"4"	4162609	461397
1954	"0"	"4"	4211191	449554
1955	"0"	"4"	4258571	441992
1956	"0"	"4"	4304832	439216
1957	"0"	"4"	4343190	431724
1958	"0"	"4"	4376314	422636
1959	"0"	"4"	4413046	416383
1960	"0"	"4"	4446222	408588
1961	"0"	"4"	4475787	401046
1962	"0"	"4"	4507098	397226
1963	"0"	"4"	4539519	398517
1964	"0"	"4"	4557567	395444
1965	"0"	"4"	4569896	390891
1966	"0"	"4"	4591842	385988
1967	"0"	"4"	4619645	382156
1968	"0"	"4"	4633292	372546
1969	"0"	"4"	4614277	356043
1970	"0"	"4"	4598336	339444
1971	"0"	"4"	4625912	327712
1972	"0"	"4"	4653401	314863
1973	"0"	"4"	4678761	302499
1974	"0"	"4"	4702387	300963
1975	"0"	"4"	4720492	303395
1976	"0"	"4"	4730836	307599
1977	"0"	"4"	4746967	312572
1978	"0"	"4"	4758088	319534
1979	"0"	"4"	4771292	320963
1980	"0"	"4"	4787778	319531
1981	"0"	"4"	4812150	317950
1982	"0"	"4"	4841715	319796
1983	"0"	"4"	4869858	323426
1984	"0"	"4"	4893748	325311
1985	"0"	"4"	4910664	324742
1986	"0"	"4"	4925644	321566
1987	"0"	"4"	4938602	314880
1988	"0"	"4"	4954359	311064
1989	"0"	"4"	4974383	309419
1990	"0"	"4"	4998478	312485
1991	"0"	"4"	5029002	317756
1992	"0"	"4"	5054982	324759
1993	"0"	"4"	5077912	326440
1994	"0"	"4"	5098754	327702
1995	"0"	"4"	5116826	324870
1996	"0"	"4"	5132320	320172
1997	"0"	"4"	5147349	312733
1998	"0"	"4"	5159646	304936
1999	"0"	"4"	5171302	297522
2000	"0"	"4"	5181115	291275
2001	"0"	"4"	5194901	286792
2002	"0"	"4"	5206295	283195
2003	"0"	"4"	5219732	283137
2004	"0"	"4"	5236611	283693
2005	"0"	"4"	5255580	284949
2006	"0"	"4"	5276955	288127
2007	"0"	"4"	5300484	291628
2008	"0"	"4"	5326314	295002
2009	"0"	"4"	5351427	298114
2010	"0"	"4"	5375276	301621
2011	"0"	"4"	5401267	302977
2012	"0"	"4"	5426674	304083
1865	"40"	"44"	1843245	111601
1866	"40"	"44"	1837506	111314
1867	"40"	"44"	1824198	110568
1868	"40"	"44"	1727538	104773
1869	"40"	"44"	1739560	105561
1870	"40"	"44"	1768769	107394
1871	"40"	"44"	1803845	107417
1872	"40"	"44"	1834611	107174
1873	"40"	"44"	1859976	106619
1874	"40"	"44"	1886117	106113
1875	"40"	"44"	1912647	105634
1876	"40"	"44"	1942656	105940
1877	"40"	"44"	1971431	106183
1878	"40"	"44"	1994573	110744
1879	"40"	"44"	2032669	112289
1880	"40"	"44"	2060782	115478
1881	"40"	"44"	2082643	119115
1882	"40"	"44"	2113302	124201
1883	"40"	"44"	2146395	127663
1884	"40"	"44"	2180547	129131
1885	"40"	"44"	2207518	131495
1886	"40"	"44"	2238572	132322
1887	"40"	"44"	2278140	131415
1888	"40"	"44"	2314179	132751
1889	"40"	"44"	2347702	134546
1890	"40"	"44"	2380140	134232
1891	"40"	"44"	2408300	135400
1892	"40"	"44"	2422500	135700
1893	"40"	"44"	2436700	136100
1894	"40"	"44"	2465700	137100
1895	"40"	"44"	2499900	138500
1896	"40"	"44"	2530900	139800
1897	"40"	"44"	2567500	141100
1898	"40"	"44"	2610300	142900
1899	"40"	"44"	2635300	143700
1900	"40"	"44"	2655900	144300
1901	"40"	"44"	2678500	147400
1902	"40"	"44"	2693900	149100
1903	"40"	"44"	2717100	150100
1904	"40"	"44"	2751900	154700
1905	"40"	"44"	2773000	152800
1906	"40"	"44"	2803700	147200
1907	"40"	"44"	2838700	142300
1908	"40"	"44"	2883000	133500
1909	"40"	"44"	2914800	131900
1910	"40"	"44"	2943400	138200
1911	"40"	"44"	2980000	147100
1912	"40"	"44"	3015500	156000
1913	"40"	"44"	3035800	167500
1914	"40"	"44"	3069500	171700
1915	"40"	"44"	3096300	171400
1916	"40"	"44"	3114200	171300
1917	"40"	"44"	3134300	174400
1918	"40"	"44"	3115300	173000
1919	"40"	"44"	3118000	174400
1920	"40"	"44"	3147600	176200
1921	"40"	"44"	3193200	178000
1922	"40"	"44"	3227800	180800
1923	"40"	"44"	3258600	185400
1924	"40"	"44"	3286200	187800
1925	"40"	"44"	3322100	190400
1926	"40"	"44"	3355200	195900
1927	"40"	"44"	3380600	199400
1928	"40"	"44"	3412100	200600
1929	"40"	"44"	3435300	199600
1930	"40"	"44"	3462700	199200
1931	"40"	"44"	3489600	201400
1932	"40"	"44"	3516000	200100
1933	"40"	"44"	3536600	198800
1934	"40"	"44"	3561600	201900
1935	"40"	"44"	3589600	208600
1936	"40"	"44"	3612400	210500
1937	"40"	"44"	3640200	215700
1938	"40"	"44"	3672100	225500
1939	"40"	"44"	3699700	233700
1940	"40"	"44"	3695617	237688
1941	"40"	"44"	3707815	242380
1942	"40"	"44"	3708801	247431
1943	"40"	"44"	3732532	249763
1944	"40"	"44"	3737096	254636
1945	"40"	"44"	3778890	258828
1946	"40"	"44"	3833072	264341
1947	"40"	"44"	3885284	271574
1948	"40"	"44"	3937840	278372
1949	"40"	"44"	3987996	283986
1950	"40"	"44"	4029803	289641
1951	"40"	"44"	4064727	291547
1952	"40"	"44"	4116228	292561
1953	"40"	"44"	4162609	290864
1954	"40"	"44"	4211191	287008
1955	"40"	"44"	4258571	280874
1956	"40"	"44"	4304832	272719
1957	"40"	"44"	4343190	265418
1958	"40"	"44"	4376314	261714
1959	"40"	"44"	4413046	249854
1960	"40"	"44"	4446222	256081
1961	"40"	"44"	4475787	262566
1962	"40"	"44"	4507098	267207
1963	"40"	"44"	4539519	273915
1964	"40"	"44"	4557567	287385
1965	"40"	"44"	4569896	287844
1966	"40"	"44"	4591842	289725
1967	"40"	"44"	4619645	292048
1968	"40"	"44"	4633292	293081
1969	"40"	"44"	4614277	294473
1970	"40"	"44"	4598336	294269
1971	"40"	"44"	4625912	293090
1972	"40"	"44"	4653401	290604
1973	"40"	"44"	4678761	282789
1974	"40"	"44"	4702387	277097
1975	"40"	"44"	4720492	272812
1976	"40"	"44"	4730836	270335
1977	"40"	"44"	4746967	272488
1978	"40"	"44"	4758088	281075
1979	"40"	"44"	4771292	288906
1980	"40"	"44"	4787778	285468
1981	"40"	"44"	4812150	303812
1982	"40"	"44"	4841715	297042
1983	"40"	"44"	4869858	298954
1984	"40"	"44"	4893748	302189
1985	"40"	"44"	4910664	329792
1986	"40"	"44"	4925644	345642
1987	"40"	"44"	4938602	385651
1988	"40"	"44"	4954359	413394
1989	"40"	"44"	4974383	436378
1990	"40"	"44"	4998478	441173
1991	"40"	"44"	5029002	433899
1992	"40"	"44"	5054982	427055
1993	"40"	"44"	5077912	417037
1994	"40"	"44"	5098754	409270
1995	"40"	"44"	5116826	404232
1996	"40"	"44"	5132320	403081
1997	"40"	"44"	5147349	397190
1998	"40"	"44"	5159646	391075
1999	"40"	"44"	5171302	386486
2000	"40"	"44"	5181115	382265
2001	"40"	"44"	5194901	378091
2002	"40"	"44"	5206295	376608
2003	"40"	"44"	5219732	379711
2004	"40"	"44"	5236611	379466
2005	"40"	"44"	5255580	377782
2006	"40"	"44"	5276955	376003
2007	"40"	"44"	5300484	373599
2008	"40"	"44"	5326314	368125
2009	"40"	"44"	5351427	358754
2010	"40"	"44"	5375276	349683
2011	"40"	"44"	5401267	339160
2012	"40"	"44"	5426674	327470
1865	"45"	"49"	1843245	95945
1866	"45"	"49"	1837506	95961
1867	"45"	"49"	1824198	95583
1868	"45"	"49"	1727538	90832
1869	"45"	"49"	1739560	91776
1870	"45"	"49"	1768769	93640
1871	"45"	"49"	1803845	95141
1872	"45"	"49"	1834611	96412
1873	"45"	"49"	1859976	97400
1874	"45"	"49"	1886117	98430
1875	"45"	"49"	1912647	99482
1876	"45"	"49"	1942656	98207
1877	"45"	"49"	1971431	96878
1878	"45"	"49"	1994573	93510
1879	"45"	"49"	2032669	95878
1880	"45"	"49"	2060782	96630
1881	"45"	"49"	2082643	97688
1882	"45"	"49"	2113302	100258
1883	"45"	"49"	2146395	104736
1884	"45"	"49"	2180547	106017
1885	"45"	"49"	2207518	108936
1886	"45"	"49"	2238572	112416
1887	"45"	"49"	2278140	117115
1888	"45"	"49"	2314179	120287
1889	"45"	"49"	2347702	121684
1890	"45"	"49"	2380140	123832
1891	"45"	"49"	2408300	125000
1892	"45"	"49"	2422500	125700
1893	"45"	"49"	2436700	126000
1894	"45"	"49"	2465700	127200
1895	"45"	"49"	2499900	128700
1896	"45"	"49"	2530900	130000
1897	"45"	"49"	2567500	131600
1898	"45"	"49"	2610300	133200
1899	"45"	"49"	2635300	134400
1900	"45"	"49"	2655900	135200
1901	"45"	"49"	2678500	134000
1902	"45"	"49"	2693900	132800
1903	"45"	"49"	2717100	133000
1904	"45"	"49"	2751900	132400
1905	"45"	"49"	2773000	133300
1906	"45"	"49"	2803700	135800
1907	"45"	"49"	2838700	137700
1908	"45"	"49"	2883000	139000
1909	"45"	"49"	2914800	142400
1910	"45"	"49"	2943400	139900
1911	"45"	"49"	2980000	135500
1912	"45"	"49"	3015500	131100
1913	"45"	"49"	3035800	121400
1914	"45"	"49"	3069500	120800
1915	"45"	"49"	3096300	127700
1916	"45"	"49"	3114200	136100
1917	"45"	"49"	3134300	145100
1918	"45"	"49"	3115300	155200
1919	"45"	"49"	3118000	159700
1920	"45"	"49"	3147600	159800
1921	"45"	"49"	3193200	160600
1922	"45"	"49"	3227800	163900
1923	"45"	"49"	3258600	164600
1924	"45"	"49"	3286200	165900
1925	"45"	"49"	3322100	168200
1926	"45"	"49"	3355200	169000
1927	"45"	"49"	3380600	171100
1928	"45"	"49"	3412100	175700
1929	"45"	"49"	3435300	177400
1930	"45"	"49"	3462700	179300
1931	"45"	"49"	3489600	185000
1932	"45"	"49"	3516000	190100
1933	"45"	"49"	3536600	192800
1934	"45"	"49"	3561600	193300
1935	"45"	"49"	3589600	194300
1936	"45"	"49"	3612400	196400
1937	"45"	"49"	3640200	194300
1938	"45"	"49"	3672100	192300
1939	"45"	"49"	3699700	194500
1940	"45"	"49"	3695617	200158
1941	"45"	"49"	3707815	202145
1942	"45"	"49"	3708801	205880
1943	"45"	"49"	3732532	213493
1944	"45"	"49"	3737096	219609
1945	"45"	"49"	3778890	222664
1946	"45"	"49"	3833072	228545
1947	"45"	"49"	3885284	234072
1948	"45"	"49"	3937840	236601
1949	"45"	"49"	3987996	241938
1950	"45"	"49"	4029803	246377
1951	"45"	"49"	4064727	252382
1952	"45"	"49"	4116228	260536
1953	"45"	"49"	4162609	268100
1954	"45"	"49"	4211191	274635
1955	"45"	"49"	4258571	281187
1956	"45"	"49"	4304832	283922
1957	"45"	"49"	4343190	285075
1958	"45"	"49"	4376314	283397
1959	"45"	"49"	4413046	279648
1960	"45"	"49"	4446222	273220
1961	"45"	"49"	4475787	265010
1962	"45"	"49"	4507098	257652
1963	"45"	"49"	4539519	254397
1964	"45"	"49"	4557567	242740
1965	"45"	"49"	4569896	248616
1966	"45"	"49"	4591842	255289
1967	"45"	"49"	4619645	259816
1968	"45"	"49"	4633292	266180
1969	"45"	"49"	4614277	278883
1970	"45"	"49"	4598336	278969
1971	"45"	"49"	4625912	281004
1972	"45"	"49"	4653401	283842
1973	"45"	"49"	4678761	285700
1974	"45"	"49"	4702387	288314
1975	"45"	"49"	4720492	289296
1976	"45"	"49"	4730836	287696
1977	"45"	"49"	4746967	285251
1978	"45"	"49"	4758088	277222
1979	"45"	"49"	4771292	271437
1980	"45"	"49"	4787778	267664
1981	"45"	"49"	4812150	265612
1982	"45"	"49"	4841715	267837
1983	"45"	"49"	4869858	276757
1984	"45"	"49"	4893748	284840
1985	"45"	"49"	4910664	281599
1986	"45"	"49"	4925644	299754
1987	"45"	"49"	4938602	292980
1988	"45"	"49"	4954359	294692
1989	"45"	"49"	4974383	297913
1990	"45"	"49"	4998478	325282
1991	"45"	"49"	5029002	341453
1992	"45"	"49"	5054982	381240
1993	"45"	"49"	5077912	409135
1994	"45"	"49"	5098754	431795
1995	"45"	"49"	5116826	436449
1996	"45"	"49"	5132320	428832
1997	"45"	"49"	5147349	421934
1998	"45"	"49"	5159646	411958
1999	"45"	"49"	5171302	404445
2000	"45"	"49"	5181115	399427
2001	"45"	"49"	5194901	398557
2002	"45"	"49"	5206295	393036
2003	"45"	"49"	5219732	387053
2004	"45"	"49"	5236611	382724
2005	"45"	"49"	5255580	379095
2006	"45"	"49"	5276955	375319
2007	"45"	"49"	5300484	374364
2008	"45"	"49"	5326314	377979
2009	"45"	"49"	5351427	378341
2010	"45"	"49"	5375276	377077
2011	"45"	"49"	5401267	375591
2012	"45"	"49"	5426674	373298
1865	"50"	"54"	1843245	77035
1866	"50"	"54"	1837506	77770
1867	"50"	"54"	1824198	78193
1868	"50"	"54"	1727538	75008
1869	"50"	"54"	1739560	76501
1870	"50"	"54"	1768769	78786
1871	"50"	"54"	1803845	80836
1872	"50"	"54"	1834611	82694
1873	"50"	"54"	1859976	84309
1874	"50"	"54"	1886117	85958
1875	"50"	"54"	1912647	87623
1876	"50"	"54"	1942656	89149
1877	"50"	"54"	1971431	90619
1878	"50"	"54"	1994573	91346
1879	"50"	"54"	2032669	92604
1880	"50"	"54"	2060782	92845
1881	"50"	"54"	2082643	91463
1882	"50"	"54"	2113302	90137
1883	"50"	"54"	2146395	87081
1884	"50"	"54"	2180547	89085
1885	"50"	"54"	2207518	90019
1886	"50"	"54"	2238572	91151
1887	"50"	"54"	2278140	93447
1888	"50"	"54"	2314179	97493
1889	"50"	"54"	2347702	98518
1890	"50"	"54"	2380140	101240
1891	"50"	"54"	2408300	103000
1892	"50"	"54"	2422500	104000
1893	"50"	"54"	2436700	105300
1894	"50"	"54"	2465700	106900
1895	"50"	"54"	2499900	108700
1896	"50"	"54"	2530900	110500
1897	"50"	"54"	2567500	112600
1898	"50"	"54"	2610300	114900
1899	"50"	"54"	2635300	116600
1900	"50"	"54"	2655900	118200
1901	"50"	"54"	2678500	121100
1902	"50"	"54"	2693900	121900
1903	"50"	"54"	2717100	122200
1904	"50"	"54"	2751900	123500
1905	"50"	"54"	2773000	123500
1906	"50"	"54"	2803700	121900
1907	"50"	"54"	2838700	120900
1908	"50"	"54"	2883000	121300
1909	"50"	"54"	2914800	120000
1910	"50"	"54"	2943400	120700
1911	"50"	"54"	2980000	123800
1912	"50"	"54"	3015500	126600
1913	"50"	"54"	3035800	127400
1914	"50"	"54"	3069500	131900
1915	"50"	"54"	3096300	131300
1916	"50"	"54"	3114200	127000
1917	"50"	"54"	3134300	122900
1918	"50"	"54"	3115300	113500
1919	"50"	"54"	3118000	113400
1920	"50"	"54"	3147600	120200
1921	"50"	"54"	3193200	128400
1922	"50"	"54"	3227800	136000
1923	"50"	"54"	3258600	146400
1924	"50"	"54"	3286200	150200
1925	"50"	"54"	3322100	150600
1926	"50"	"54"	3355200	150600
1927	"50"	"54"	3380600	153400
1928	"50"	"54"	3412100	154300
1929	"50"	"54"	3435300	155500
1930	"50"	"54"	3462700	157800
1931	"50"	"54"	3489600	158100
