"Vuosi"	"min_ika"	"max_ika"	"Ikaluokat_yhteensa"	"ikaluokka"
1892	"10"	"14"	2422500	255400
1893	"10"	"14"	2436700	257400
1894	"10"	"14"	2465700	260700
1895	"10"	"14"	2499900	264300
1896	"10"	"14"	2530900	268000
1897	"10"	"14"	2567500	272100
1898	"10"	"14"	2610300	276800
1899	"10"	"14"	2635300	280200
1900	"10"	"14"	2655900	282900
1901	"10"	"14"	2678500	284600
1902	"10"	"14"	2693900	280700
1903	"10"	"14"	2717100	277800
1904	"10"	"14"	2751900	280100
1905	"10"	"14"	2773000	286000
1906	"10"	"14"	2803700	287400
1907	"10"	"14"	2838700	292700
1908	"10"	"14"	2883000	303700
1909	"10"	"14"	2914800	311100
1910	"10"	"14"	2943400	311700
1911	"10"	"14"	2980000	319600
1912	"10"	"14"	3015500	325700
1913	"10"	"14"	3035800	327300
1914	"10"	"14"	3069500	332000
1915	"10"	"14"	3096300	336300
1916	"10"	"14"	3114200	341200
1917	"10"	"14"	3134300	348300
1918	"10"	"14"	3115300	354400
1919	"10"	"14"	3118000	359600
1920	"10"	"14"	3147600	362800
1921	"10"	"14"	3193200	365900
1922	"10"	"14"	3227800	366700
1923	"10"	"14"	3258600	363900
1924	"10"	"14"	3286200	359000
1925	"10"	"14"	3322100	351500
1926	"10"	"14"	3355200	342500
1927	"10"	"14"	3380600	334400
1928	"10"	"14"	3412100	329800
1929	"10"	"14"	3435300	315100
1930	"10"	"14"	3462700	319900
1931	"10"	"14"	3489600	328600
1932	"10"	"14"	3516000	333300
1933	"10"	"14"	3536600	340900
1934	"10"	"14"	3561600	355500
1935	"10"	"14"	3589600	352400
1936	"10"	"14"	3612400	349500
1937	"10"	"14"	3640200	347700
1938	"10"	"14"	3672100	344900
1939	"10"	"14"	3699700	344400
1940	"10"	"14"	3695617	340504
1941	"10"	"14"	3707815	338210
1942	"10"	"14"	3708801	334544
1943	"10"	"14"	3732532	325646
1944	"10"	"14"	3737096	319716
1945	"10"	"14"	3778890	315167
1946	"10"	"14"	3833072	313339
1947	"10"	"14"	3885284	315385
1948	"10"	"14"	3937840	324382
1949	"10"	"14"	3987996	332715
1950	"10"	"14"	4029803	329078
1951	"10"	"14"	4064727	348194
1952	"10"	"14"	4116228	340181
1953	"10"	"14"	4162609	341116
1954	"10"	"14"	4211191	343974
1955	"10"	"14"	4258571	374650
1956	"10"	"14"	4304832	392192
1957	"10"	"14"	4343190	435893
1958	"10"	"14"	4376314	466408
1959	"10"	"14"	4413046	489632
1960	"10"	"14"	4446222	492178
1961	"10"	"14"	4475787	479852
1962	"10"	"14"	4507098	469664
1963	"10"	"14"	4539519	455546
1964	"10"	"14"	4557567	444659
1965	"10"	"14"	4569896	435402
1966	"10"	"14"	4591842	432183
1967	"10"	"14"	4619645	423583
1968	"10"	"14"	4633292	414568
1969	"10"	"14"	4614277	406068
1970	"10"	"14"	4598336	397946
1971	"10"	"14"	4625912	390916
1972	"10"	"14"	4653401	387100
1973	"10"	"14"	4678761	388333
1974	"10"	"14"	4702387	386406
1975	"10"	"14"	4720492	382810
1976	"10"	"14"	4730836	378715
1977	"10"	"14"	4746967	375674
1978	"10"	"14"	4758088	367915
1979	"10"	"14"	4771292	356276
1980	"10"	"14"	4787778	345100
1981	"10"	"14"	4812150	332337
1982	"10"	"14"	4841715	318137
1983	"10"	"14"	4869858	304473
1984	"10"	"14"	4893748	301526
1985	"10"	"14"	4910664	303344
1986	"10"	"14"	4925644	308733
1987	"10"	"14"	4938602	315649
1988	"10"	"14"	4954359	323585
1989	"10"	"14"	4974383	325775
1990	"10"	"14"	4998478	324891
1991	"10"	"14"	5029002	323331
1992	"10"	"14"	5054982	325034
1993	"10"	"14"	5077912	328667
1994	"10"	"14"	5098754	330599
1995	"10"	"14"	5116826	330257
1996	"10"	"14"	5132320	327420
1997	"10"	"14"	5147349	321264
1998	"10"	"14"	5159646	317898
1999	"10"	"14"	5171302	316104
2000	"10"	"14"	5181115	318634
2001	"10"	"14"	5194901	323018
2002	"10"	"14"	5206295	329351
2003	"10"	"14"	5219732	330245
2004	"10"	"14"	5236611	331433
2005	"10"	"14"	5255580	328539
2006	"10"	"14"	5276955	323835
2007	"10"	"14"	5300484	316713
2008	"10"	"14"	5326314	309342
2009	"10"	"14"	5351427	302423
2010	"10"	"14"	5375276	296709
2011	"10"	"14"	5401267	292889
2012	"10"	"14"	5426674	290329
1865	"15"	"19"	1843245	170609
1866	"15"	"19"	1837506	171787
1867	"15"	"19"	1824198	172266
1868	"15"	"19"	1727538	164784
1869	"15"	"19"	1739560	167631
1870	"15"	"19"	1768769	172205
1871	"15"	"19"	1803845	173739
1872	"15"	"19"	1834611	174849
1873	"15"	"19"	1859976	175446
1874	"15"	"19"	1886117	176123
1875	"15"	"19"	1912647	176840
1876	"15"	"19"	1942656	181796
1877	"15"	"19"	1971431	186631
1878	"15"	"19"	1994573	188061
1879	"15"	"19"	2032669	193763
1880	"15"	"19"	2060782	192593
1881	"15"	"19"	2082643	186855
1882	"15"	"19"	2113302	181877
1883	"15"	"19"	2146395	171618
1884	"15"	"19"	2180547	171260
1885	"15"	"19"	2207518	180710
1886	"15"	"19"	2238572	192719
1887	"15"	"19"	2278140	204316
1888	"15"	"19"	2314179	220747
1889	"15"	"19"	2347702	226908
1890	"15"	"19"	2380140	228168
1891	"15"	"19"	2408300	230400
1892	"15"	"19"	2422500	231100
1893	"15"	"19"	2436700	231700
1894	"15"	"19"	2465700	234700
1895	"15"	"19"	2499900	238000
1896	"15"	"19"	2530900	240800
1897	"15"	"19"	2567500	244700
1898	"15"	"19"	2610300	249100
1899	"15"	"19"	2635300	250900
1900	"15"	"19"	2655900	252600
1901	"15"	"19"	2678500	258600
1902	"15"	"19"	2693900	261800
1903	"15"	"19"	2717100	263300
1904	"15"	"19"	2751900	263800
1905	"15"	"19"	2773000	264600
1906	"15"	"19"	2803700	267000
1907	"15"	"19"	2838700	264900
1908	"15"	"19"	2883000	264700
1909	"15"	"19"	2914800	267800
1910	"15"	"19"	2943400	275400
1911	"15"	"19"	2980000	276400
1912	"15"	"19"	3015500	281300
1913	"15"	"19"	3035800	290700
1914	"15"	"19"	3069500	298300
1915	"15"	"19"	3096300	301900
1916	"15"	"19"	3114200	308600
1917	"15"	"19"	3134300	314000
1918	"15"	"19"	3115300	311400
1919	"15"	"19"	3118000	316600
1920	"15"	"19"	3147600	321300
1921	"15"	"19"	3193200	328600
1922	"15"	"19"	3227800	337500
1923	"15"	"19"	3258600	345700
1924	"15"	"19"	3286200	352400
1925	"15"	"19"	3322100	358400
1926	"15"	"19"	3355200	361400
1927	"15"	"19"	3380600	361700
1928	"15"	"19"	3412100	359000
1929	"15"	"19"	3435300	353700
1930	"15"	"19"	3462700	345500
1931	"15"	"19"	3489600	336500
1932	"15"	"19"	3516000	328500
1933	"15"	"19"	3536600	323800
1934	"15"	"19"	3561600	309800
1935	"15"	"19"	3589600	317200
1936	"15"	"19"	3612400	325400
1937	"15"	"19"	3640200	329800
1938	"15"	"19"	3672100	336600
1939	"15"	"19"	3699700	350300
1940	"15"	"19"	3695617	346180
1941	"15"	"19"	3707815	341930
1942	"15"	"19"	3708801	339421
1943	"15"	"19"	3732532	337125
1944	"15"	"19"	3737096	335314
1945	"15"	"19"	3778890	336143
1946	"15"	"19"	3833072	334518
1947	"15"	"19"	3885284	331401
1948	"15"	"19"	3937840	322557
1949	"15"	"19"	3987996	316899
1950	"15"	"19"	4029803	311614
1951	"15"	"19"	4064727	308283
1952	"15"	"19"	4116228	310275
1953	"15"	"19"	4162609	319590
1954	"15"	"19"	4211191	328191
1955	"15"	"19"	4258571	324166
1956	"15"	"19"	4304832	343580
1957	"15"	"19"	4343190	335621
1958	"15"	"19"	4376314	337004
1959	"15"	"19"	4413046	340805
1960	"15"	"19"	4446222	372438
1961	"15"	"19"	4475787	389381
1962	"15"	"19"	4507098	432203
1963	"15"	"19"	4539519	461508
1964	"15"	"19"	4557567	482133
1965	"15"	"19"	4569896	482168
1966	"15"	"19"	4591842	469889
1967	"15"	"19"	4619645	460406
1968	"15"	"19"	4633292	445639
1969	"15"	"19"	4614277	431099
1970	"15"	"19"	4598336	421170
1971	"15"	"19"	4625912	421729
1972	"15"	"19"	4653401	415882
1973	"15"	"19"	4678761	408523
1974	"15"	"19"	4702387	401987
1975	"15"	"19"	4720492	395592
1976	"15"	"19"	4730836	388147
1977	"15"	"19"	4746967	384881
1978	"15"	"19"	4758088	385677
1979	"15"	"19"	4771292	383390
1980	"15"	"19"	4787778	380152
1981	"15"	"19"	4812150	377548
1982	"15"	"19"	4841715	374333
1983	"15"	"19"	4869858	367489
1984	"15"	"19"	4893748	356320
1985	"15"	"19"	4910664	345381
1986	"15"	"19"	4925644	332536
1987	"15"	"19"	4938602	318025
1988	"15"	"19"	4954359	304154
1989	"15"	"19"	4974383	301284
1990	"15"	"19"	4998478	303383
1991	"15"	"19"	5029002	309680
1992	"15"	"19"	5054982	317075
1993	"15"	"19"	5077912	325595
1994	"15"	"19"	5098754	327902
1995	"15"	"19"	5116826	327118
1996	"15"	"19"	5132320	325344
1997	"15"	"19"	5147349	326932
1998	"15"	"19"	5159646	330273
1999	"15"	"19"	5171302	332206
2000	"15"	"19"	5181115	331778
2001	"15"	"19"	5194901	329220
2002	"15"	"19"	5206295	323130
2003	"15"	"19"	5219732	319754
2004	"15"	"19"	5236611	318105
2005	"15"	"19"	5255580	320942
2006	"15"	"19"	5276955	325347
2007	"15"	"19"	5300484	331920
2008	"15"	"19"	5326314	333177
2009	"15"	"19"	5351427	334636
2010	"15"	"19"	5375276	332084
2011	"15"	"19"	5401267	327766
2012	"15"	"19"	5426674	320713
1865	"20"	"24"	1843245	161105
1866	"20"	"24"	1837506	161516
1867	"20"	"24"	1824198	161269
1868	"20"	"24"	1727538	153603
1869	"20"	"24"	1739560	155581
1870	"20"	"24"	1768769	159133
1871	"20"	"24"	1803845	161837
1872	"20"	"24"	1834611	164150
1873	"20"	"24"	1859976	165982
1874	"20"	"24"	1886117	167885
1875	"20"	"24"	1912647	169822
1876	"20"	"24"	1942656	169920
1877	"20"	"24"	1971431	169917
1878	"20"	"24"	1994573	171538
1879	"20"	"24"	2032669	172121
1880	"20"	"24"	2060782	174515
1881	"20"	"24"	2082643	177973
1882	"20"	"24"	2113302	180970
1883	"20"	"24"	2146395	182447
1884	"20"	"24"	2180547	188101
1885	"20"	"24"	2207518	187255
1886	"20"	"24"	2238572	181920
1887	"20"	"24"	2278140	177237
1888	"20"	"24"	2314179	167371
1889	"20"	"24"	2347702	166935
1890	"20"	"24"	2380140	176018
1891	"20"	"24"	2408300	180500
1892	"20"	"24"	2422500	183600
1893	"20"	"24"	2436700	186300
1894	"20"	"24"	2465700	191800
1895	"20"	"24"	2499900	197200
1896	"20"	"24"	2530900	202400
1897	"20"	"24"	2567500	208600
1898	"20"	"24"	2610300	215400
1899	"20"	"24"	2635300	218900
1900	"20"	"24"	2655900	222900
1901	"20"	"24"	2678500	222800
1902	"20"	"24"	2693900	222000
1903	"20"	"24"	2717100	226700
1904	"20"	"24"	2751900	230300
1905	"20"	"24"	2773000	232000
1906	"20"	"24"	2803700	238700
1907	"20"	"24"	2838700	245100
1908	"20"	"24"	2883000	249800
1909	"20"	"24"	2914800	249700
1910	"20"	"24"	2943400	251200
1911	"20"	"24"	2980000	252900
1912	"20"	"24"	3015500	249800
1913	"20"	"24"	3035800	246300
1914	"20"	"24"	3069500	249000
1915	"20"	"24"	3096300	255300
1916	"20"	"24"	3114200	256300
1917	"20"	"24"	3134300	261800
1918	"20"	"24"	3115300	264000
1919	"20"	"24"	3118000	271700
1920	"20"	"24"	3147600	276300
1921	"20"	"24"	3193200	286300
1922	"20"	"24"	3227800	294400
1923	"20"	"24"	3258600	297400
1924	"20"	"24"	3286200	304300
1925	"20"	"24"	3322100	310500
1926	"20"	"24"	3355200	317100
1927	"20"	"24"	3380600	325400
1928	"20"	"24"	3412100	334000
1929	"20"	"24"	3435300	340400
1930	"20"	"24"	3462700	345400
1931	"20"	"24"	3489600	350100
1932	"20"	"24"	3516000	351200
1933	"20"	"24"	3536600	349500
1934	"20"	"24"	3561600	345400
1935	"20"	"24"	3589600	339000
1936	"20"	"24"	3612400	330200
1937	"20"	"24"	3640200	323600
1938	"20"	"24"	3672100	319400
1939	"20"	"24"	3699700	304700
1940	"20"	"24"	3695617	307312
1941	"20"	"24"	3707815	307231
1942	"20"	"24"	3708801	309056
1943	"20"	"24"	3732532	315689
1944	"20"	"24"	3737096	320933
1945	"20"	"24"	3778890	320699
1946	"20"	"24"	3833072	321608
1947	"20"	"24"	3885284	323347
1948	"20"	"24"	3937840	324229
1949	"20"	"24"	3987996	327012
1950	"20"	"24"	4029803	327239
1951	"20"	"24"	4064727	323441
1952	"20"	"24"	4116228	321080
1953	"20"	"24"	4162609	312581
1954	"20"	"24"	4211191	306848
1955	"20"	"24"	4258571	302524
1956	"20"	"24"	4304832	300083
1957	"20"	"24"	4343190	300980
1958	"20"	"24"	4376314	309348
1959	"20"	"24"	4413046	317166
1960	"20"	"24"	4446222	312651
1961	"20"	"24"	4475787	333144
1962	"20"	"24"	4507098	326462
1963	"20"	"24"	4539519	328469
1964	"20"	"24"	4557567	328422
1965	"20"	"24"	4569896	355180
1966	"20"	"24"	4591842	369813
1967	"20"	"24"	4619645	411093
1968	"20"	"24"	4633292	437405
1969	"20"	"24"	4614277	449217
1970	"20"	"24"	4598336	445099
1971	"20"	"24"	4625912	442138
1972	"20"	"24"	4653401	438754
1973	"20"	"24"	4678761	431100
1974	"20"	"24"	4702387	423889
1975	"20"	"24"	4720492	417130
1976	"20"	"24"	4730836	412670
1977	"20"	"24"	4746967	403364
1978	"20"	"24"	4758088	394116
1979	"20"	"24"	4771292	386877
1980	"20"	"24"	4787778	381371
1981	"20"	"24"	4812150	377248
1982	"20"	"24"	4841715	376229
1983	"20"	"24"	4869858	379836
1984	"20"	"24"	4893748	379548
1985	"20"	"24"	4910664	377268
1986	"20"	"24"	4925644	374244
1987	"20"	"24"	4938602	370748
1988	"20"	"24"	4954359	363775
1989	"20"	"24"	4974383	353391
1990	"20"	"24"	4998478	343608
1991	"20"	"24"	5029002	332830
1992	"20"	"24"	5054982	319454
1993	"20"	"24"	5077912	306405
1994	"20"	"24"	5098754	303187
1995	"20"	"24"	5116826	305051
1996	"20"	"24"	5132320	310629
1997	"20"	"24"	5147349	317870
1998	"20"	"24"	5159646	326044
1999	"20"	"24"	5171302	328066
2000	"20"	"24"	5181115	327230
2001	"20"	"24"	5194901	325599
2002	"20"	"24"	5206295	327262
2003	"20"	"24"	5219732	330871
2004	"20"	"24"	5236611	333364
2005	"20"	"24"	5255580	333936
2006	"20"	"24"	5276955	332004
2007	"20"	"24"	5300484	327266
2008	"20"	"24"	5326314	325440
2009	"20"	"24"	5351427	324472
2010	"20"	"24"	5375276	327780
2011	"20"	"24"	5401267	332881
2012	"20"	"24"	5426674	339758
1865	"25"	"29"	1843245	138266
1866	"25"	"29"	1837506	140978
1867	"25"	"29"	1824198	143128
1868	"25"	"29"	1727538	138593
1869	"25"	"29"	1739560	142683
1870	"25"	"29"	1768769	148311
1871	"25"	"29"	1803845	149836
1872	"25"	"29"	1834611	150996
1873	"25"	"29"	1859976	151713
1874	"25"	"29"	1886117	152496
1875	"25"	"29"	1912647	153316
1876	"25"	"29"	1942656	156319
1877	"25"	"29"	1971431	159220
1878	"25"	"29"	1994573	160447
1879	"25"	"29"	2032669	163053
1880	"25"	"29"	2060782	164710
1881	"25"	"29"	2082643	163704
1882	"25"	"29"	2113302	163861
1883	"25"	"29"	2146395	165318
1884	"25"	"29"	2180547	165305
1885	"25"	"29"	2207518	167400
1886	"25"	"29"	2238572	171114
1887	"25"	"29"	2278140	174017
1888	"25"	"29"	2314179	175891
1889	"25"	"29"	2347702	181612
1890	"25"	"29"	2380140	181021
1891	"25"	"29"	2408300	183500
1892	"25"	"29"	2422500	184500
1893	"25"	"29"	2436700	185300
1894	"25"	"29"	2465700	188200
1895	"25"	"29"	2499900	191100
1896	"25"	"29"	2530900	193600
1897	"25"	"29"	2567500	197000
1898	"25"	"29"	2610300	200800
1899	"25"	"29"	2635300	201900
1900	"25"	"29"	2655900	203100
1901	"25"	"29"	2678500	202300
1902	"25"	"29"	2693900	203300
1903	"25"	"29"	2717100	204000
1904	"25"	"29"	2751900	206000
1905	"25"	"29"	2773000	206700
1906	"25"	"29"	2803700	207100
1907	"25"	"29"	2838700	209700
1908	"25"	"29"	2883000	217400
1909	"25"	"29"	2914800	219100
1910	"25"	"29"	2943400	220200
1911	"25"	"29"	2980000	228200
1912	"25"	"29"	3015500	233000
1913	"25"	"29"	3035800	233800
1914	"25"	"29"	3069500	233800
1915	"25"	"29"	3096300	234300
1916	"25"	"29"	3114200	235400
1917	"25"	"29"	3134300	232800
1918	"25"	"29"	3115300	224800
1919	"25"	"29"	3118000	226800
1920	"25"	"29"	3147600	232200
1921	"25"	"29"	3193200	235100
1922	"25"	"29"	3227800	240600
1923	"25"	"29"	3258600	250400
1924	"25"	"29"	3286200	258700
1925	"25"	"29"	3322100	263900
1926	"25"	"29"	3355200	272900
1927	"25"	"29"	3380600	280300
1928	"25"	"29"	3412100	283500
1929	"25"	"29"	3435300	289800
1930	"25"	"29"	3462700	295400
1931	"25"	"29"	3489600	303200
1932	"25"	"29"	3516000	312200
1933	"25"	"29"	3536600	320900
1934	"25"	"29"	3561600	328400
1935	"25"	"29"	3589600	335600
1936	"25"	"29"	3612400	338800
1937	"25"	"29"	3640200	340600
1938	"25"	"29"	3672100	339100
1939	"25"	"29"	3699700	333100
1940	"25"	"29"	3695617	320475
1941	"25"	"29"	3707815	305213
1942	"25"	"29"	3708801	295891
1943	"25"	"29"	3732532	290854
1944	"25"	"29"	3737096	274138
1945	"25"	"29"	3778890	279457
1946	"25"	"29"	3833072	285954
1947	"25"	"29"	3885284	289238
1948	"25"	"29"	3937840	295272
1949	"25"	"29"	3987996	309021
1950	"25"	"29"	4029803	308393
1951	"25"	"29"	4064727	308074
1952	"25"	"29"	4116228	310898
1953	"25"	"29"	4162609	312716
1954	"25"	"29"	4211191	315537
1955	"25"	"29"	4258571	317279
1956	"25"	"29"	4304832	316113
1957	"25"	"29"	4343190	312608
1958	"25"	"29"	4376314	302682
1959	"25"	"29"	4413046	295263
1960	"25"	"29"	4446222	289347
1961	"25"	"29"	4475787	285578
1962	"25"	"29"	4507098	287379
1963	"25"	"29"	4539519	296656
1964	"25"	"29"	4557567	302512
1965	"25"	"29"	4569896	296260
1966	"25"	"29"	4591842	316327
1967	"25"	"29"	4619645	310722
1968	"25"	"29"	4633292	311451
1969	"25"	"29"	4614277	307109
1970	"25"	"29"	4598336	331031
1971	"25"	"29"	4625912	349107
1972	"25"	"29"	4653401	392432
1973	"25"	"29"	4678761	423755
1974	"25"	"29"	4702387	448938
1975	"25"	"29"	4720492	453205
1976	"25"	"29"	4730836	442278
1977	"25"	"29"	4746967	431733
1978	"25"	"29"	4758088	419225
1979	"25"	"29"	4771292	409745
1980	"25"	"29"	4787778	403524
1981	"25"	"29"	4812150	402619
1982	"25"	"29"	4841715	397110
1983	"25"	"29"	4869858	391373
1984	"25"	"29"	4893748	386743
1985	"25"	"29"	4910664	382333
1986	"25"	"29"	4925644	377477
1987	"25"	"29"	4938602	375276
1988	"25"	"29"	4954359	377764
1989	"25"	"29"	4974383	377940
1990	"25"	"29"	4998478	376821
1991	"25"	"29"	5029002	376431
1992	"25"	"29"	5054982	374213
1993	"25"	"29"	5077912	368480
1994	"25"	"29"	5098754	357733
1995	"25"	"29"	5116826	347131
1996	"25"	"29"	5132320	334569
1997	"25"	"29"	5147349	320816
1998	"25"	"29"	5159646	307320
1999	"25"	"29"	5171302	304448
2000	"25"	"29"	5181115	306202
2001	"25"	"29"	5194901	312190
2002	"25"	"29"	5206295	319485
2003	"25"	"29"	5219732	327973
2004	"25"	"29"	5236611	330853
2005	"25"	"29"	5255580	331174
2006	"25"	"29"	5276955	330967
2007	"25"	"29"	5300484	334682
2008	"25"	"29"	5326314	340416
2009	"25"	"29"	5351427	344634
2010	"25"	"29"	5375276	346063
2011	"25"	"29"	5401267	345438
2012	"25"	"29"	5426674	341295
1865	"30"	"34"	1843245	124135
1866	"30"	"34"	1837506	125332
1867	"30"	"34"	1824198	126022
1868	"30"	"34"	1727538	120883
1869	"30"	"34"	1739560	123299
1870	"30"	"34"	1768769	126998
1871	"30"	"34"	1803845	130751
1872	"30"	"34"	1834611	134199
1873	"30"	"34"	1859976	137249
1874	"30"	"34"	1886117	140352
1875	"30"	"34"	1912647	143482
1876	"30"	"34"	1942656	143866
1877	"30"	"34"	1971431	144164
1878	"30"	"34"	1994573	145465
1879	"30"	"34"	2032669	147660
1880	"30"	"34"	2060782	147371
1881	"30"	"34"	2082643	151497
1882	"30"	"34"	2113302	153466
1883	"30"	"34"	2146395	154600
1884	"30"	"34"	2180547	156924
1885	"30"	"34"	2207518	158226
1886	"30"	"34"	2238572	157191
1887	"30"	"34"	2278140	156920
1888	"30"	"34"	2314179	158039
1889	"30"	"34"	2347702	157791
1890	"30"	"34"	2380140	159873
1891	"30"	"34"	2408300	160000
1892	"30"	"34"	2422500	159200
1893	"30"	"34"	2436700	158300
1894	"30"	"34"	2465700	158300
1895	"30"	"34"	2499900	158800
1896	"30"	"34"	2530900	158800
